,Stock,Type,Start Date,End Date,Seed,Open,High,Low,Close,Volume
0,^GSPTSE,LSTM,2022-01-01,2024-01-01,1,0.449649566,0.409302021,0.455647521,0.474915384,0.166396228
1,^GSPTSE,LSTM,2022-01-01,2024-01-01,2,0.182804678,0.192539324,0.206388961,0.209937264,0.175745446
2,^GSPTSE,LSTM,2022-01-01,2024-01-01,3,0.494478243,0.511867989,0.492970083,0.476475259,0.167061292
3,^GSPTSE,LSTM,2022-01-01,2024-01-01,4,1.223209412,1.239618053,1.331835165,1.322717603,0.166774213
4,^GSPTSE,LSTM,2022-01-01,2024-01-01,5,0.68472264,0.722967534,0.819263234,0.765369486,0.169013069
5,^GSPTSE,LSTM,2022-01-01,2024-01-01,6,0.328562875,0.2899084,0.347542297,0.531218045,0.194072706
6,^GSPTSE,LSTM,2022-01-01,2024-01-01,7,1.267156473,1.328073772,1.421495868,1.409727141,0.170751528
7,^GSPTSE,LSTM,2022-01-01,2024-01-01,8,0.816948679,0.848348565,0.866637317,0.909197502,0.170389814
8,^GSPTSE,LSTM,2022-01-01,2024-01-01,9,1.426232974,1.403759388,1.521475403,1.484554805,0.16434837
9,^GSPTSE,LSTM,2022-01-01,2024-01-01,10,0.882233777,0.889787061,0.940210406,0.956401991,0.16583077
10,^GSPTSE,LSTM,2022-01-01,2024-01-01,11,0.223268309,0.241136382,0.263609974,0.276711446,0.172159999
11,^GSPTSE,LSTM,2022-01-01,2024-01-01,12,0.91766765,0.869070559,0.954504038,0.935714521,0.178326009
12,^GSPTSE,LSTM,2022-01-01,2024-01-01,13,0.649387768,0.619284987,0.705854766,0.676072972,0.171928712
13,^GSPTSE,LSTM,2022-01-01,2024-01-01,14,0.535494821,0.509724375,0.611879998,0.572493869,0.165174194
14,^GSPTSE,LSTM,2022-01-01,2024-01-01,15,1.16097281,1.170517108,1.22371461,1.23659029,0.169732286
15,^GSPTSE,LSTM,2022-01-01,2024-01-01,16,0.330739367,0.33151564,0.356016244,0.334494981,0.174388264
16,^GSPTSE,LSTM,2022-01-01,2024-01-01,17,0.444005381,0.305905024,0.432084919,0.343610415,0.166334501
17,^GSPTSE,LSTM,2022-01-01,2024-01-01,18,0.353229352,0.382882925,0.379826131,0.395606079,0.168634489
18,^GSPTSE,LSTM,2022-01-01,2024-01-01,19,0.871449381,0.826602456,0.892934323,0.932741939,0.165859681
19,^GSPTSE,LSTM,2022-01-01,2024-01-01,20,0.190054645,0.186878312,0.171725409,0.174731501,0.172473425
