,Stock,Type,Start Date,End Date,Seed,Open,High,Low,Close,Volume
0,^GSPTSE,LSTM,2022-01-01,2024-01-01,1,0.158362645,0.177844441,0.147059177,0.178473692,0.168006806
1,^GSPTSE,LSTM,2022-01-01,2024-01-01,2,0.512381475,0.362073324,0.478537713,0.352410993,0.171344429
2,^GSPTSE,LSTM,2022-01-01,2024-01-01,3,0.245707679,0.200529837,0.144153068,0.170993479,0.17179427
3,^GSPTSE,LSTM,2022-01-01,2024-01-01,4,0.19398753,0.206715307,0.264528821,0.174265483,0.199775033
4,^GSPTSE,LSTM,2022-01-01,2024-01-01,5,0.265728036,0.367170736,0.540774157,0.474528755,0.1763973
5,^GSPTSE,LSTM,2022-01-01,2024-01-01,6,0.142572643,0.159913374,0.201052226,0.437781535,0.19527944
6,^GSPTSE,LSTM,2022-01-01,2024-01-01,7,0.278164299,0.245048872,0.300521825,0.285646398,0.167276999
7,^GSPTSE,LSTM,2022-01-01,2024-01-01,8,0.375477519,0.371548547,0.280910312,0.468556792,0.205786341
8,^GSPTSE,LSTM,2022-01-01,2024-01-01,9,0.426479909,0.45184229,0.44365563,0.511305053,0.185671263
9,^GSPTSE,LSTM,2022-01-01,2024-01-01,10,0.152204651,0.176897626,0.178570913,0.210275407,0.194356801
10,^GSPTSE,LSTM,2022-01-01,2024-01-01,11,0.401522596,0.440257079,0.440731767,0.431783965,0.167220882
11,^GSPTSE,LSTM,2022-01-01,2024-01-01,12,0.684255273,0.566507813,0.543756882,0.481352704,0.172849889
12,^GSPTSE,LSTM,2022-01-01,2024-01-01,13,0.35433334,0.356737564,0.347873416,0.543365249,0.180807374
13,^GSPTSE,LSTM,2022-01-01,2024-01-01,14,0.248225155,0.190796723,0.156954831,0.162371845,0.171707726
14,^GSPTSE,LSTM,2022-01-01,2024-01-01,15,0.337224902,0.382892837,0.471554995,0.391534123,0.171975806
15,^GSPTSE,LSTM,2022-01-01,2024-01-01,16,0.141124853,0.190745376,0.140880018,0.168703135,0.167947606
16,^GSPTSE,LSTM,2022-01-01,2024-01-01,17,0.138487816,0.193595792,0.143022851,0.206022189,0.169358776
17,^GSPTSE,LSTM,2022-01-01,2024-01-01,18,0.145990306,0.17404759,0.148756861,0.209872299,0.181344101
18,^GSPTSE,LSTM,2022-01-01,2024-01-01,19,0.194806949,0.28030002,0.431421475,0.415924953,0.175739609
19,^GSPTSE,LSTM,2022-01-01,2024-01-01,20,0.14168982,0.16720701,0.287281191,0.23286784,0.201729333
20,^GSPTSE,LSTM,2022-01-01,2024-01-01,21,0.253433669,0.306480045,0.332926433,0.419293837,0.170930948
21,^GSPTSE,LSTM,2022-01-01,2024-01-01,22,0.300710862,0.368248836,0.347207919,0.341140042,0.192667975
22,^GSPTSE,LSTM,2022-01-01,2024-01-01,23,0.219047022,0.176725862,0.170747496,0.203340753,0.178007548
23,^GSPTSE,LSTM,2022-01-01,2024-01-01,24,0.214129467,0.221136507,0.339775373,0.338787761,0.199788582
24,^GSPTSE,LSTM,2022-01-01,2024-01-01,25,0.314762598,0.341628085,0.213282912,0.312456546,0.177120521
25,^GSPTSE,LSTM,2022-01-01,2024-01-01,26,0.243240728,0.316541746,0.230488001,0.262074433,0.168016856
26,^GSPTSE,LSTM,2022-01-01,2024-01-01,27,0.463480032,0.45855064,0.432597387,0.463070367,0.16784383
27,^GSPTSE,LSTM,2022-01-01,2024-01-01,28,0.274741798,0.223435561,0.325433346,0.266701618,0.172958052
28,^GSPTSE,LSTM,2022-01-01,2024-01-01,29,0.159216217,0.168712103,0.178244015,0.190737756,0.179577409
29,^GSPTSE,LSTM,2022-01-01,2024-01-01,30,0.407423763,0.312040143,0.202057624,0.487849806,0.169623326
30,^GSPTSE,LSTM,2022-01-01,2024-01-01,31,0.173671903,0.155037684,0.15502858,0.228455561,0.169715603
