,Base Seed,Fine-Tune Seed,Open,High,Low,Close,Volume
0,1.0,1.0,0.301658478296137,0.3492823883761158,0.2986361609386187,0.2859896218608707,0.1551729611559033
1,1.0,2.0,0.1730945991222637,0.1847116375030198,0.1627729633984363,0.1594943052058887,0.1548504517971189
2,1.0,3.0,0.1367333578992539,0.1213488879359298,0.1077815692164839,0.1353891062623107,0.1611330524505924
3,1.0,4.0,0.1604678562711967,0.1526765704761286,0.1260250943123681,0.1680739390077504,0.1603761354802166
4,1.0,5.0,0.1491194508719237,0.1398272696717232,0.1201083463372499,0.1581100905949982,0.1647644577339652
5,1.0,6.0,0.1814987632756832,0.1995632411882353,0.1787947828626369,0.1761809327854489,0.1560556777205156
6,1.0,7.0,0.1434256533836983,0.1329293400328169,0.1166844778000762,0.1443969633366544,0.1624725496508831
7,1.0,8.0,0.2184812092198404,0.2365338189693415,0.2109007116856129,0.2099303679724581,0.1537750507339499
8,1.0,9.0,0.1226251578269785,0.1063486259596442,0.0956674122600424,0.1270966780977398,0.1571935627266161
9,1.0,10.0,0.1817903551782558,0.1822686601645719,0.1615521176718297,0.1771384556640927,0.160069829222244
10,1.0,11.0,0.1695842293882933,0.1870513272106993,0.1662555968506837,0.1631944266365971,0.1525952011559129
11,1.0,12.0,0.1442207827140972,0.1309660491356873,0.113063306036767,0.1500910490019466,0.1578432403931699
12,1.0,13.0,0.1377034816047767,0.1228252612359684,0.1058733742039238,0.1414746764945554,0.1587532265118864
13,1.0,14.0,0.1929204103908987,0.1901134283163698,0.1485026776681722,0.1974924773829862,0.1649431861385608
14,1.0,15.0,0.1490596848408441,0.1410056594420275,0.1259040074472057,0.1448075895435008,0.1602449499842978
15,1.0,16.0,0.1273103686607059,0.1121792276219532,0.0993635336245572,0.1318140861358344,0.1595928029236356
16,1.0,17.0,0.1437819619939228,0.1313416775979209,0.1131262770914861,0.1448586343127803,0.1603895344580261
17,1.0,18.0,0.1621260328642263,0.1723385840888435,0.1554313063534227,0.1557362270746289,0.1556173567421415
18,1.0,19.0,0.1575971699520216,0.1544011226378179,0.1434809777552317,0.1513686980988805,0.1585879710320995
19,1.0,20.0,0.1308933775609048,0.1181687506698588,0.1042588711667556,0.1360899654408439,0.1584657696284591
20,2.0,1.0,0.1487984476219299,0.1177667217647375,0.1105710576291573,0.1538739487404201,0.1676317327947804
21,2.0,2.0,0.1285463010429244,0.1062010373405676,0.0996839411838149,0.1283325341779133,0.1581519109193236
22,2.0,3.0,0.1655210624936048,0.1545595766672748,0.1421443020036788,0.1598503335498727,0.1595216374908173
23,2.0,4.0,0.2101694480623209,0.2063495316769313,0.1879407250431148,0.1999035531408771,0.1568368198258033
24,2.0,5.0,0.1214230412112145,0.1144183457098979,0.1063469967336301,0.1167636919836012,0.1601605102503225
25,2.0,6.0,0.1985799666805172,0.1976117658823701,0.1795006801122174,0.185482223778487,0.1586188888724918
26,2.0,7.0,0.3782039918721113,0.3982695247635001,0.3675496590823616,0.3576105853319567,0.1555195979745977
27,2.0,8.0,0.149132556987132,0.137237066361843,0.1265715322499982,0.1427251767403573,0.1593084477409991
28,2.0,9.0,0.1616776366655947,0.1629534066128987,0.152008068467709,0.151285659094718,0.1565871102585538
29,2.0,10.0,0.1548195761202677,0.1494138053541517,0.1349232776677629,0.1503150664873348,0.1605083978859191
30,2.0,11.0,0.1327910752698011,0.1117113416775037,0.1038742481529649,0.1273206639640775,0.1604078826471139
31,2.0,12.0,0.1385872965458624,0.1335463616250879,0.1234557666881451,0.1317110096232104,0.1577974927919365
32,2.0,13.0,0.1379534104452408,0.1114472125500715,0.1052675268546846,0.1376011302622286,0.1618749318259592
33,2.0,14.0,0.1568749549290111,0.1405713431904883,0.1292538082515442,0.156611843938339,0.1625592736102438
34,2.0,15.0,0.144939862396598,0.1309816585117809,0.118404287128384,0.142083603904793,0.1593220827788488
35,2.0,16.0,0.2181078721500503,0.2301186894917405,0.2106015246254799,0.2038950477006839,0.1565694512699734
36,2.0,17.0,0.2381873639744332,0.2467996720688646,0.2254432219288382,0.2266814426298401,0.1580093525754212
37,2.0,18.0,0.1491033491012721,0.126997058515225,0.118654889024226,0.1464764307985799,0.161409171541261
38,2.0,19.0,0.1558147511026444,0.1344076620777414,0.1242286489386102,0.1533198499396648,0.1624949350282779
39,2.0,20.0,0.1215609556545976,0.1034126918176641,0.0977906119022175,0.1227035708065009,0.1623499718920559
40,3.0,1.0,0.1335330771437611,0.1311533313350048,0.1242847519189966,0.1277981381674587,0.1614488275907463
41,3.0,2.0,0.2052206653226723,0.2202135921813078,0.1970064145447127,0.194519992723913,0.1577612417673571
42,3.0,3.0,0.244864780892924,0.2735495164034394,0.2393515326794588,0.2295402970812412,0.1579662542069391
43,3.0,4.0,0.1700377629021473,0.1762192811482647,0.1578760627543946,0.1645143952403379,0.1601626741052853
44,3.0,5.0,0.1449193895443721,0.1329395562586431,0.1166127461980233,0.1485533749078799,0.1663470248062806
45,3.0,6.0,0.2281291125284368,0.2253764597000156,0.1766045874781226,0.2314432159804409,0.163661194649161
46,3.0,7.0,0.1452284642135494,0.1332836517766363,0.1136590408000165,0.1513202512779266,0.163257492999544
47,3.0,8.0,0.1365066966304368,0.1358772726951824,0.1281381882437192,0.1310533485170637,0.158956538146501
48,3.0,9.0,0.1274000473868189,0.1145020793396298,0.106707719709248,0.125127325281117,0.1570019470943889
49,3.0,10.0,0.1284464268325088,0.1143586128301785,0.1044331488625078,0.128427557215548,0.1607111634586588
50,3.0,11.0,0.1348389171218626,0.1195385163514091,0.100178413426708,0.1426922078828117,0.1589150767289153
51,3.0,12.0,0.1760098621586553,0.1858138859190232,0.168363471923778,0.1678019707405557,0.1586864804534968
52,3.0,13.0,0.1297912507792982,0.1208014965795731,0.1133293433552152,0.1289269321844015,0.1587359927218339
53,3.0,14.0,0.1351047345810593,0.1317663750871469,0.1275405464217392,0.1258524072081882,0.1590691467378076
