,Fine-Tune Seed,Open,High,Low,Close,Volume
0,1.0,0.984838374385586,1.2569997394034038,0.4694004526360561,1.113246894513846,0.5177159690905698
1,2.0,0.399899687589087,0.4674745597128938,0.4691623043410891,0.4360576980422142,0.2588338017364411
2,3.0,0.5409303460802632,0.5722968602552431,0.5223889985379099,0.536149204580197,0.1602574264372107
3,4.0,0.9277022921209828,0.9689254130406552,0.8881434184185591,0.9455432023889412,0.1533362229189623
4,5.0,17.58277493086072,19.575215277602688,11.133095661341386,21.020178309049456,0.5509107254126362
5,6.0,0.6940258382231482,0.7266919242331953,0.6703528251588461,0.6956743154661053,0.1640115322704249
6,7.0,0.6601912151820281,0.6474627543011667,0.6445014323182254,0.5955553242861652,0.4970059789873999
7,8.0,0.5387593818705501,0.5522655118577482,0.53135477516938,0.5192176974520811,0.2911074066621138
8,9.0,0.9992332501451988,1.0419000401067506,0.958157121183862,1.0165642592490565,0.1541995036034346
9,10.0,1.0714818903316132,1.0941691183343758,1.0028104934928408,1.083017578457881,0.2412281120622172
10,11.0,0.4039160343928296,0.3769321545647678,0.4099671962484848,0.391527842348376,0.1676863527494766
11,12.0,0.5823581618302469,0.6138502004171199,0.5666360293102072,0.5713681005195745,0.1993199518917086
12,13.0,0.5866845327291627,0.6268173209939519,0.5824353478166535,0.5875154166107704,0.1541028470996008
13,14.0,0.8248939530763919,0.8688072257803584,0.8035399827895563,0.8399036438292258,0.1613640812492975
14,15.0,2.403216691521144,2.7500632645125545,1.088572746128916,2.5651885667575,0.3541434345223304
15,16.0,0.7098474431223939,0.7491011798295526,0.6998966165815048,0.7162161578086346,0.1542049505872057
16,17.0,9.755658165439938,8.938603353446553,5.827022643861515,10.494763878943196,0.4605585852319905
17,18.0,0.3356568414358455,0.2772697735313106,0.374662083883161,0.3467517431197224,0.4644511114576051
18,19.0,0.5995591704023375,0.5834719911336194,0.5891365366945118,0.5554079303548475,0.5678408871968126
19,20.0,0.986277966478203,1.0359995459974192,0.943154871224292,1.0079840083140954,0.1604687461314599
20,21.0,0.8282178299104779,0.8768883085833769,0.8169103736886411,0.8871880635276127,0.1630510646650191
21,22.0,0.4439528349646444,0.4567649916493723,0.4683500760565162,0.4155494347641867,0.4731945631102872
22,23.0,0.8999678067670642,0.9529642070772368,0.8759952720584427,0.931102605175906,0.1692050419341084
23,24.0,10.010401908434778,10.49028431997352,6.881927166427171,12.614425663747356,0.5380913010167794
24,25.0,1.0319617393852558,1.0649790791483094,0.9859958970720764,1.04519328762761,0.2380418689553017
25,26.0,0.668559069291388,0.7554451950189289,0.6813562437711187,0.7117625281190333,0.1699303455475057
26,27.0,0.3702779928786084,0.3831911622114778,0.4141514684382966,0.3787435812601165,0.1874903508913129
27,28.0,0.5080294976491986,0.5365219475744042,0.5044709014665292,0.4953176241019592,0.2211065848020477
28,29.0,11.258159090946256,10.304804767735384,7.688940412296386,11.321669733774728,0.3178907949957643
29,30.0,0.4084381214359066,0.4916790808752751,0.3336697765221096,0.5934791834236945,0.4191069280284129
30,31.0,0.8186157527116502,0.8538940539661948,0.7878891724871686,0.8325409539534521,0.1570843421342884
31,32.0,0.9783374061188608,1.050556558698661,0.9515638465706248,1.0089828501467897,0.1718440342146179
32,33.0,1.2216156816512866,1.010696609351312,0.6512111355646676,1.093090467747647,0.231137755652427
33,34.0,2.2195816353411417,2.2154873555188805,1.0867002700250492,2.732656997339986,0.5965119912923873
34,35.0,0.5089726874732557,0.5103704752911734,0.5026460692363959,0.4772777434996769,0.406525863196686
35,36.0,0.6325523111356472,0.6733019879139507,0.6179818325294133,0.6355288291969703,0.1568501093107606
36,37.0,0.7095602341774888,0.7368046480458432,0.7016811423119138,0.7065438058526143,0.1525407163932456
37,38.0,0.5728443331340913,0.594050285405444,0.5588223073100911,0.5497003170371719,0.2381877900248256
38,39.0,0.3076983248360104,0.316558188805593,0.4521301283329669,0.4268578422090989,0.5353700470966057
39,40.0,0.3039111249948676,0.306370731893595,0.427689027858268,0.3763597461457955,0.3465257423722188
40,41.0,1.180825656519191,1.5179223295162778,0.6032271657817211,1.9856247663645292,0.7293629671160703
41,42.0,1.0417490173998811,1.0911978904553197,1.0005152757428233,1.0753262100570735,0.1579631790993157
42,43.0,0.7432442016922017,0.7852764733739465,0.7352742746015931,0.7613598890649337,0.1582278342283522
43,44.0,36.18914655810185,32.17680642580796,20.48353238166498,32.85944102221882,0.2744653137012016
44,45.0,0.6940877261361185,0.724709209159472,0.6699637537846538,0.7051593661512645,0.1528129609085105
45,46.0,1.6808105150100985,1.5041215935397076,0.8008562534053467,1.7214931270055145,0.4514830996576872
46,47.0,0.7240778922701206,0.7762123102344833,0.7185178471175407,0.7399762527199213,0.1573901586319536
47,48.0,0.8481019734299565,0.8980612697403372,0.818688848300507,0.8615361580889458,0.1663475111635535
48,49.0,0.6766173345653828,0.8069360062578903,0.7414761212622536,0.7578310806968132,0.1708242066691198
49,50.0,0.6708430120089097,1.039435957258055,0.3007886798849231,0.879459332576965,0.5894090976001893
50,51.0,0.8855582603225572,0.9488814114610351,0.8571443522925414,0.9022578972005237,0.15291908886077268
51,52.0,308.82254188936935,0.8216004180014614,2.447083033918919,11.590290740538508,0.5084188459561148
52,53.0,1.30353906663838,1.3610195735611053,1.235327112634537,1.33808538657596,0.15409658139674734
53,54.0,7.8911631519035765,8.432826559452305,4.698779720774549,8.207438310766324,0.40940501629153325
54,55.0,7.577428935563457,7.503464019682638,4.683995089698464,8.0378667873581,0.5274268840651916
55,56.0,4.667082362209647,4.597991670632908,2.3351845598468888,5.423648497696839,0.6032898423465447
56,57.0,0.7965278638443104,0.8381199637924012,0.766573449690119,0.8101185561792528,0.15573071923004503
57,58.0,0.45973700996604017,0.46516818407688826,0.4624305339343149,0.43587208907737507,0.3064841728113203
58,59.0,0.9664330945339287,1.0220500619702104,0.9312923254329476,0.9890027701496727,0.15542106634158714
59,60.0,0.5510506924370907,0.7442752889600608,0.5932575228538948,0.5905857817909107,0.15427114432084318
60,61.0,0.5144194325679031,0.5115875908208507,0.5083538781022353,0.4792298032727227,0.5165574107836347
61,62.0,0.8250641718526941,0.8830845688212349,0.39043620532734025,1.037243150496877,0.5779584284815189
62,63.0,0.593212621164006,0.6340917391867502,0.6012451949787755,0.6144345481842745,0.1655313028442268
63,64.0,0.3284922448008368,0.4047265750033614,0.4955206007417704,0.37674398561322003,0.35679769966558195
64,65.0,0.9207333322321593,0.9663631509683039,0.8924225195117684,0.942970815874826,0.16358763173048668
65,66.0,2.010276731714395,1.0998283593909288,0.966703689556097,1.5565717325670616,0.18207640884883558
66,67.0,0.9732969949781998,1.0229215772795168,0.9491434016430638,0.9981466396270973,0.15903504401477264
67,68.0,0.541464817624148,0.5527734232516569,0.5363358126236157,0.5181416918230759,0.42251475328985866
68,69.0,2.8790554561584076,2.6099673899717133,1.8170043535010403,2.60814513439083,0.24362369827221314
69,70.0,0.6637651560071279,0.6753274393202102,0.6457407371770855,0.6423796693667813,0.33411558709945466
70,71.0,0.61248769180808,0.6324112865470846,0.5963062968837665,0.5994024513494698,0.22015546484303042
71,72.0,0.7423309600886732,0.7813425432465974,0.7435949649254109,0.7466850728652707,0.16312038179120722
72,73.0,0.4461544751552686,0.4597964477403653,0.44306531871772203,0.4260513873071405,0.29858407767815165
73,74.0,0.5823395917725352,0.6323408650158959,0.56475314424544,0.5708242911887617,0.155732322852689
74,75.0,0.4786758519261297,0.5035655526578764,0.47821222754368314,0.4766880094890279,0.15455919715043917
75,76.0,0.8196026044422683,0.8666006218305412,0.7882598393432919,0.8245497367564006,0.15888235859956876
76,77.0,0.6057566929862562,0.656028374595784,0.6121653018782989,0.631929214272553,0.15586416122913913
77,78.0,1.0147842768244257,1.066711996985419,0.9740316217931987,1.0389374195430237,0.15327364250859082
78,79.0,0.7924746131314568,0.849713295711514,0.7838945781776179,0.8189773016716069,0.1703110257546719
79,80.0,3.363025161127013,3.2956278664259084,1.8209709392484472,3.46283207744267,0.4762743815348552
80,81.0,0.2698972946731298,0.28979877919523406,0.3904776152250643,0.29472974541075775,0.42326094682417864
81,82.0,4.623497523400439,4.129019665838251,2.3452526242060867,4.246901024870602,0.3241978374828055
82,83.0,1.274949348534928,1.3345149298670558,1.2071597966406489,1.3172626694117258,0.15512642979088556
83,84.0,0.819835750972807,0.8580521554542598,0.7996395391028258,0.835790888766647,0.1527757384252233
84,85.0,0.8210291170014784,0.8754293763189996,0.7994285166859243,0.8340277172223958,0.15794798023795642
85,86.0,0.9664092702346713,1.012527940098448,0.9310703933301391,0.9919420965254879,0.15805305379749277
86,87.0,1.4424491693162267,0.7823567994313777,0.5558658125610679,1.3081831144763052,0.2414790734548189
87,88.0,0.8672489217637983,0.909469238430839,0.8326070595250742,0.8779866669408751,0.15973856103567505
88,89.0,0.5343402980743994,0.6206757359991343,0.5994834561341493,0.6069544981490039,0.2331517606936337
89,90.0,0.6448425951211879,0.7484984137498073,0.6819081766670376,0.7192527108092195,0.15259317922749754
90,91.0,0.8978712997429628,0.9390198757737792,0.8656273149461157,0.9113876727489207,0.15310445742037565
91,92.0,0.5680925987990402,0.5605751257278434,0.5465508566120881,0.5174050405407358,0.5828837597309849
92,93.0,65.13165598526459,70.10559989983051,49.12391447891939,80.36423698883162,0.5924331188213838
93,94.0,0.7695910573492857,0.8341397387158584,0.7558740623035023,0.7903689751892017,0.16940354961090504
94,95.0,0.6452637353670689,0.6810556408657322,0.6279111171307196,0.6323807016645532,0.18627008806462128
95,96.0,2.1199773164122386,1.5517780004222255,0.7728141269165157,2.0496960887825493,0.41209550157669483
96,97.0,0.311255447617614,0.40061128119130357,0.43365568517601183,0.526875972838146,0.6833020800357394
97,98.0,0.34111783180729693,0.4194673861658738,0.4885287881965955,0.3909728399591618,0.3691451401026872
98,99.0,0.8499324414111428,0.8873378565182014,0.8219478621561777,0.8583923375909284,0.15369829999866394
99,100.0,10.224795349337906,10.7938741377232,8.37444344994821,11.358629815949094,0.5374915354422514
