,Base Seed,Fine-Tune Seed,Open,High,Low,Close,Volume
0,1.0,1.0,0.2305141763257132,0.258866962583021,0.2530983575461012,0.2331996514926382,0.1696931544522582
1,1.0,2.0,0.352600763121616,0.3952296221803503,0.3588116279755642,0.3426244410921687,0.1814181431643241
2,1.0,3.0,0.3089682687784631,0.34535006265577,0.319471129765972,0.3026564345879201,0.1847422870083984
3,1.0,4.0,0.2144170649344051,0.2342575257907461,0.2226195945691842,0.2116442838117537,0.1846458378346255
4,1.0,5.0,0.2442564186598356,0.2570040943690984,0.1981071647810369,0.2445894982176165,0.2785304249750054
5,1.0,6.0,0.2123494194674914,0.2392503784718676,0.2374240504980025,0.2154191509440596,0.2276392035274727
6,1.0,7.0,0.3925723675758381,0.4293633120532695,0.378182770162704,0.3840244513886482,0.2129941812637243
7,1.0,8.0,0.2303648355529672,0.2542187851498971,0.2549791825941681,0.2302301494214197,0.1976138089991659
8,1.0,9.0,0.2178979742854853,0.2304467641205272,0.1999232173440591,0.2175917708191063,0.2544675297160031
9,1.0,10.0,0.2826871661850798,0.3044437082383113,0.2799939306697545,0.2743688315431051,0.17705344969194
10,1.0,11.0,0.177485255660687,0.1830713573547771,0.1708951671084484,0.1825009812226142,0.2865268274209009
11,1.0,12.0,0.2861320611270924,0.3138303310343839,0.297088995677432,0.2841797286316032,0.1767260571187854
12,1.0,13.0,0.2252385511329241,0.2370330889816395,0.2046594603058153,0.2255146228938105,0.2536034236637508
13,1.0,14.0,0.2547404160148057,0.2903880524752191,0.2860917016456363,0.2675943609625841,0.1971586757374245
14,1.0,15.0,0.3652044199748666,0.4050240640647012,0.3729701282272405,0.3593991700937735,0.1686877751659974
15,1.0,16.0,0.2531940768924323,0.2742980043956814,0.2539814989517023,0.2499565076460413,0.1994773541265224
16,1.0,17.0,0.3060616551504859,0.3476040271856244,0.3284634618157613,0.2989363051433145,0.1732435804501407
17,1.0,18.0,0.3413294045510189,0.376923749741848,0.3359152770201726,0.3369435889135783,0.176860451135018
18,1.0,19.0,0.1739691458416249,0.1706496915463359,0.1224503949816829,0.1798845496618279,0.315613802874803
19,1.0,20.0,0.169863664291989,0.1828399094595926,0.1739472291251026,0.1758423082913306,0.1976599193099953
20,2.0,1.0,0.2295880345527563,0.2617128421262213,0.2807964194322632,0.238346833746223,0.1780862055827059
21,2.0,2.0,0.1425942549878452,0.1670239633067131,0.1948452776824273,0.1541769743890808,0.2051797756933376
22,2.0,3.0,0.2237518126494276,0.2234403455221417,0.265284619091355,0.2242727451241259,0.2043897000145208
23,2.0,4.0,0.0995741851370824,0.1022463302117081,0.1089634161364616,0.1173594798250501,0.2287655978302067
24,2.0,5.0,0.4083588891255666,0.4377278652201554,0.4310708542769658,0.4107880893580753,0.2515988787536197
25,2.0,6.0,0.1209735345559918,0.0912005600753942,0.0637897934149141,0.1235298116715643,0.2900791902806445
26,2.0,7.0,0.1278637428189984,0.1070508655808968,0.0681324250348972,0.1390702885795383,0.2640149506450484
27,2.0,8.0,0.2287421746523741,0.2271732740827467,0.2615578747254934,0.2282735829774366,0.2202355837316924
28,2.0,9.0,0.1091270396686935,0.0871842651383632,0.0659252660180373,0.1219569960121059,0.3765801953798904
29,2.0,10.0,0.2267358759944228,0.2340300001167201,0.2780016511647679,0.2267981460227396,0.1936202914301015
30,2.0,11.0,0.1324559206689981,0.14414994469087,0.151517010701252,0.1443620813554613,0.1913923417579764
31,2.0,12.0,0.0877941565957606,0.1024819445129331,0.1187809117547248,0.1099369029912628,0.2592908864093851
32,2.0,13.0,0.0918263776014667,0.1047581814592448,0.1229995499285417,0.1073483756833177,0.2119014287472677
33,2.0,14.0,0.2781658641560255,0.3148351833937703,0.3224440401240523,0.2891648604244164,0.2082898407004686
34,2.0,15.0,0.1004186871672258,0.1192332161875544,0.1385676940231896,0.1135102317150885,0.186019972665337
35,2.0,16.0,0.1799010902376621,0.2170716953821422,0.2278966015834441,0.1960336671239765,0.1905737411264412
36,2.0,17.0,0.1143883326777933,0.1358445502697225,0.1599988133378947,0.1284958980448279,0.2620370320156456
37,2.0,18.0,0.1774104050695134,0.1984281294559637,0.215707109717675,0.1794267549963225,0.1763169839565384
38,2.0,19.0,0.1479074002013571,0.1267710990267573,0.0834956984423281,0.1611943863484184,0.4562844253369871
39,2.0,20.0,0.1973868074290933,0.2182586089864762,0.2374770167353813,0.1992861747693345,0.2839510138889197
40,3.0,1.0,0.2799974363935945,0.3363859505408333,0.3228896594480006,0.29117627130888,0.1817788132427026
41,3.0,2.0,0.2281897394281945,0.2618634098973174,0.2631749723628607,0.2351759783172159,0.1871681279343837
42,3.0,3.0,0.1846300084955901,0.2121745414429402,0.2190540943256457,0.1949124266699412,0.2086914316132847
43,3.0,4.0,0.1787993586512009,0.2003067159180829,0.2009223240637949,0.183134556464983,0.1944766921422771
44,3.0,5.0,0.1904661817217892,0.2201355495323316,0.2218781426897431,0.2025119179271179,0.1844471962178947
45,3.0,6.0,0.3614397566056753,0.4146228621560747,0.4014990147566729,0.3700577125648844,0.1828737200802425
46,3.0,7.0,0.3050221138144902,0.3526097886670545,0.3353665951143524,0.313961635909083,0.2013020926687262
47,3.0,8.0,0.2330650720806517,0.271117764572112,0.2636179080063855,0.2515169079170494,0.1931105981611118
48,3.0,9.0,0.3260643803745103,0.3721173262916855,0.3606748454891873,0.331690464589768,0.1771228517873641
49,3.0,10.0,0.2358557678772146,0.27528378192185,0.2757417340018274,0.2343485646439862,0.1787733371212325
50,3.0,11.0,0.2802264178306818,0.3254500475728852,0.3199144745290078,0.2909873256762197,0.1779062042825502
51,3.0,12.0,0.1689686903836578,0.1993830106887031,0.2081349365392206,0.1809008329282794,0.1847403339598226
